name,price,url
"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage","13,999",https://www.amazon.in/OnePlus-Nord-Jade-256GB-Storage/dp/B0B3D39RKV
"Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage","6,499",https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage","34,999",https://www.amazon.in/Redmi-9A-Sport-Octa-core-Processor/dp/B09GFLXVH9
"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage","28,999",https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2XCK3
"OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage","16,499",https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage","11,999",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRMNJ9G
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage","12,490",https://www.amazon.in/Lava-Blaze-5G-Blue-Storage/dp/B0BKKHFGCP
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage","8,999",https://www.amazon.in/iQOO-128GB-Storage-Snapdragon%C2%AE-FlashCharge/dp/B07WDKLDRX
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage","15,490",https://www.amazon.in/iQOO-Chromatic-Storage-Snapdragon-Processor/dp/B07WGMMQGP
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage","6,499",https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS
"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage","11,999",https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L
